Date,Description,Amount,Category
2023-03-20,Medical Bill,-475.6,Medical
2023-03-20,Phone Bill,-390.95,Utilities
2023-03-20,Freelance Payment,1891.67,Income
2023-03-21,Phone Bill,-232.33,Utilities
2023-03-21,Uber Ride,-75.72,Travel
2023-03-21,Netflix Subscription,-15.19,Subscription
2023-03-22,Spotify Subscription,-469.58,Subscription
2023-03-22,Starbucks Coffee,-95.0,Food & Drinks
2023-03-23,Salary Credit,1608.48,Income
2023-03-24,Spotify Subscription,-16.42,Subscription
2023-03-24,Amazon Shopping,-28.1,Shopping
2023-03-25,Online Course Payment,-311.1,Education
2023-03-25,Spotify Subscription,-259.55,Subscription
2023-03-25,Netflix Subscription,-430.67,Subscription
2023-03-26,Dinner at Restaurant,-37.2,Food & Drinks
2023-03-26,Uber Ride,-471.39,Travel
2023-03-26,Gas Station,-405.16,Transportation
2023-03-27,Starbucks Coffee,-343.7,Food & Drinks
2023-03-28,Freelance Payment,2219.99,Income
2023-03-28,Electricity Bill,-22.02,Utilities
2023-03-28,Gas Station,-198.58,Transportation
2023-03-29,Electricity Bill,-378.9,Utilities
2023-03-29,Gym Membership,-107.93,Fitness
2023-03-30,Car Repair,-388.69,Transportation
2023-03-30,Starbucks Coffee,-200.6,Food & Drinks
2023-03-31,Movie Ticket,-166.64,Entertainment
2023-03-31,Gas Station,-102.01,Transportation
2023-04-01,Electricity Bill,-423.04,Utilities
2023-04-02,Car Repair,-272.15,Transportation
2023-04-03,Flight Ticket,-74.76,Travel
2023-04-03,Online Course Payment,-86.81,Education
2023-04-04,Freelance Payment,1846.8,Income
2023-04-05,Spotify Subscription,-150.28,Subscription
2023-04-06,Phone Bill,-103.43,Utilities
2023-04-06,Electricity Bill,-365.86,Utilities
2023-04-06,Salary Credit,2211.92,Income
2023-04-07,Freelance Payment,2302.15,Income
2023-04-07,Freelance Payment,2700.08,Income
2023-04-08,Salary Credit,1127.12,Income
2023-04-08,Groceries - Walmart,-366.16,Groceries
2023-04-09,Netflix Subscription,-238.75,Subscription
2023-04-09,Groceries - Walmart,-486.0,Groceries
2023-04-10,Salary Credit,2443.46,Income
2023-04-10,Gas Station,-249.43,Transportation
2023-04-10,Dinner at Restaurant,-356.78,Food & Drinks
2023-04-11,Amazon Shopping,-222.47,Shopping
2023-04-11,Insurance Payment,-20.56,Insurance
2023-04-12,Hotel Booking,-160.61,Travel
2023-04-12,Uber Ride,-454.25,Travel
2023-04-12,Freelance Payment,1820.77,Income
2023-04-13,Uber Ride,-471.71,Travel
2023-04-13,Freelance Payment,1579.5,Income
2023-04-13,Starbucks Coffee,-314.06,Food & Drinks
2023-04-14,Gym Membership,-230.98,Fitness
2023-04-14,Spotify Subscription,-97.35,Subscription
2023-04-15,Phone Bill,-165.55,Utilities
2023-04-15,Freelance Payment,2813.66,Income
2023-04-16,Medical Bill,-179.52,Medical
2023-04-17,Freelance Payment,1329.31,Income
2023-04-17,Dinner at Restaurant,-244.99,Food & Drinks
2023-04-17,Salary Credit,1239.73,Income
2023-04-18,Dinner at Restaurant,-204.9,Food & Drinks
2023-04-18,Hotel Booking,-130.69,Travel
2023-04-18,Spotify Subscription,-129.63,Subscription
2023-04-19,Netflix Subscription,-153.93,Subscription
2023-04-19,Hotel Booking,-498.88,Travel
2023-04-20,Hotel Booking,-488.42,Travel
2023-04-20,Groceries - Walmart,-175.81,Groceries
2023-04-20,Salary Credit,1479.12,Income
2023-04-21,Spotify Subscription,-226.65,Subscription
2023-04-21,Gym Membership,-124.82,Fitness
2023-04-22,Phone Bill,-187.98,Utilities
2023-04-22,Hotel Booking,-365.47,Travel
2023-04-22,Groceries - Walmart,-317.99,Groceries
2023-04-23,Phone Bill,-409.13,Utilities
2023-04-23,Movie Ticket,-418.47,Entertainment
2023-04-24,Gym Membership,-349.43,Fitness
2023-04-24,Netflix Subscription,-297.49,Subscription
2023-04-24,Uber Ride,-13.21,Travel
2023-04-25,Insurance Payment,-177.59,Insurance
2023-04-25,Freelance Payment,1348.73,Income
2023-04-25,Salary Credit,1795.14,Income
2023-04-26,Car Repair,-419.67,Transportation
2023-04-26,Phone Bill,-173.83,Utilities
2023-04-26,Car Repair,-462.72,Transportation
2023-04-27,Amazon Shopping,-132.68,Shopping
2023-04-27,Movie Ticket,-409.52,Entertainment
2023-04-28,Medical Bill,-267.18,Medical
2023-04-29,Salary Credit,1186.21,Income
2023-04-29,Spotify Subscription,-281.36,Subscription
2023-04-30,Dinner at Restaurant,-143.04,Food & Drinks
2023-04-30,Insurance Payment,-364.35,Insurance
2023-04-30,Netflix Subscription,-428.88,Subscription
2023-05-01,Salary Credit,2284.06,Income
2023-05-01,Phone Bill,-468.14,Utilities
2023-05-02,Electricity Bill,-305.18,Utilities
2023-05-02,Netflix Subscription,-189.28,Subscription
2023-05-03,Netflix Subscription,-486.96,Subscription
2023-05-04,Gas Station,-276.62,Transportation
2023-05-04,Netflix Subscription,-327.72,Subscription
2023-05-05,Uber Ride,-357.53,Travel
2023-05-06,Gas Station,-166.07,Transportation
2023-05-07,Netflix Subscription,-330.52,Subscription
2023-05-07,Salary Credit,2085.08,Income
2023-05-07,Insurance Payment,-319.98,Insurance
2023-05-08,Gas Station,-296.99,Transportation
2023-05-08,Gym Membership,-199.58,Fitness
2023-05-09,Electricity Bill,-317.41,Utilities
2023-05-09,Starbucks Coffee,-178.29,Food & Drinks
2023-05-10,Online Course Payment,-248.8,Education
2023-05-11,Movie Ticket,-143.98,Entertainment
2023-05-12,Hotel Booking,-26.58,Travel
2023-05-12,Spotify Subscription,-470.53,Subscription
2023-05-12,Gas Station,-457.86,Transportation
2023-05-13,Dinner at Restaurant,-476.77,Food & Drinks
2023-05-13,Hotel Booking,-278.62,Travel
2023-05-13,Netflix Subscription,-490.26,Subscription
2023-05-14,Salary Credit,1633.84,Income
2023-05-14,Car Repair,-280.62,Transportation
2023-05-14,Netflix Subscription,-287.18,Subscription
2023-05-15,Online Course Payment,-495.08,Education
2023-05-15,Starbucks Coffee,-130.81,Food & Drinks
2023-05-16,Starbucks Coffee,-164.66,Food & Drinks
2023-05-16,Electricity Bill,-350.02,Utilities
2023-05-17,Movie Ticket,-278.65,Entertainment
2023-05-17,Amazon Shopping,-405.63,Shopping
2023-05-17,Netflix Subscription,-131.82,Subscription
2023-05-18,Freelance Payment,2003.03,Income
2023-05-19,Medical Bill,-326.73,Medical
2023-05-20,Movie Ticket,-30.13,Entertainment
2023-05-20,Insurance Payment,-172.31,Insurance
2023-05-21,Starbucks Coffee,-222.04,Food & Drinks
2023-05-21,Insurance Payment,-235.47,Insurance
2023-05-22,Hotel Booking,-23.49,Travel
2023-05-22,Gym Membership,-155.12,Fitness
2023-05-22,Phone Bill,-67.89,Utilities
2023-05-23,Electricity Bill,-386.15,Utilities
2023-05-24,Freelance Payment,1170.69,Income
2023-05-25,Medical Bill,-208.62,Medical
2023-05-26,Electricity Bill,-364.42,Utilities
2023-05-26,Flight Ticket,-484.92,Travel
2023-05-26,Amazon Shopping,-164.86,Shopping
2023-05-27,Insurance Payment,-222.29,Insurance
2023-05-28,Groceries - Walmart,-96.25,Groceries
2023-05-28,Dinner at Restaurant,-345.81,Food & Drinks
2023-05-28,Salary Credit,1346.59,Income
2023-05-29,Online Course Payment,-128.87,Education
2023-05-30,Movie Ticket,-95.52,Entertainment
2023-05-30,Flight Ticket,-143.57,Travel
2023-05-31,Freelance Payment,2314.22,Income
2023-06-01,Netflix Subscription,-127.63,Subscription
2023-06-02,Groceries - Walmart,-64.48,Groceries
2023-06-02,Gas Station,-50.44,Transportation
2023-06-02,Online Course Payment,-25.16,Education
2023-06-03,Medical Bill,-91.79,Medical
2023-06-03,Movie Ticket,-53.43,Entertainment
2023-06-04,Freelance Payment,1692.61,Income
2023-06-05,Groceries - Walmart,-202.26,Groceries
2023-06-05,Amazon Shopping,-474.83,Shopping
2023-06-06,Medical Bill,-190.43,Medical
2023-06-06,Insurance Payment,-254.05,Insurance
2023-06-07,Groceries - Walmart,-343.56,Groceries
2023-06-08,Starbucks Coffee,-18.12,Food & Drinks
2023-06-08,Medical Bill,-289.86,Medical
2023-06-08,Car Repair,-288.82,Transportation
2023-06-09,Salary Credit,2622.41,Income
2023-06-10,Groceries - Walmart,-314.84,Groceries
2023-06-10,Salary Credit,2922.38,Income
2023-06-10,Amazon Shopping,-107.31,Shopping
2023-06-11,Flight Ticket,-111.22,Travel
2023-06-12,Starbucks Coffee,-24.29,Food & Drinks
2023-06-12,Car Repair,-343.09,Transportation
2023-06-13,Electricity Bill,-195.77,Utilities
2023-06-14,Starbucks Coffee,-134.04,Food & Drinks
2023-06-14,Freelance Payment,1236.33,Income
2023-06-15,Car Repair,-316.33,Transportation
2023-06-16,Uber Ride,-211.88,Travel
2023-06-17,Uber Ride,-92.83,Travel
2023-06-18,Netflix Subscription,-495.3,Subscription
2023-06-19,Hotel Booking,-389.32,Travel
2023-06-19,Groceries - Walmart,-123.11,Groceries
2023-06-20,Flight Ticket,-371.25,Travel
2023-06-20,Netflix Subscription,-56.05,Subscription
2023-06-20,Hotel Booking,-269.49,Travel
2023-06-21,Flight Ticket,-448.28,Travel
2023-06-22,Uber Ride,-10.36,Travel
2023-06-23,Insurance Payment,-50.19,Insurance
2023-06-24,Gas Station,-340.0,Transportation
2023-06-24,Medical Bill,-288.85,Medical
2023-06-24,Online Course Payment,-46.23,Education
2023-06-25,Netflix Subscription,-303.21,Subscription
2023-06-26,Uber Ride,-473.37,Travel
2023-06-26,Movie Ticket,-395.86,Entertainment
2023-06-26,Flight Ticket,-465.81,Travel
2023-06-27,Freelance Payment,2991.86,Income
2023-06-27,Groceries - Walmart,-369.83,Groceries
2023-06-28,Phone Bill,-354.39,Utilities
2023-06-29,Spotify Subscription,-345.57,Subscription
2023-06-29,Spotify Subscription,-434.1,Subscription
2023-06-29,Gym Membership,-46.63,Fitness
2023-06-30,Electricity Bill,-41.02,Utilities
2023-07-01,Starbucks Coffee,-45.27,Food & Drinks
2023-07-01,Groceries - Walmart,-120.45,Groceries
2023-07-02,Salary Credit,2760.72,Income
2023-07-03,Freelance Payment,2972.0,Income
2023-07-04,Insurance Payment,-389.69,Insurance
2023-07-04,Freelance Payment,1848.44,Income
2023-07-05,Insurance Payment,-60.04,Insurance
2023-07-05,Netflix Subscription,-130.57,Subscription
2023-07-06,Medical Bill,-63.81,Medical
2023-07-06,Dinner at Restaurant,-373.38,Food & Drinks
2023-07-07,Flight Ticket,-122.57,Travel
2023-07-07,Hotel Booking,-46.03,Travel
2023-07-07,Salary Credit,1447.19,Income
2023-07-08,Spotify Subscription,-489.06,Subscription
2023-07-08,Flight Ticket,-26.36,Travel
2023-07-09,Movie Ticket,-266.21,Entertainment
2023-07-10,Groceries - Walmart,-130.23,Groceries
2023-07-10,Insurance Payment,-484.8,Insurance
2023-07-10,Car Repair,-87.28,Transportation
2023-07-11,Gas Station,-150.77,Transportation
2023-07-12,Netflix Subscription,-451.07,Subscription
2023-07-13,Phone Bill,-144.08,Utilities
2023-07-14,Spotify Subscription,-57.84,Subscription
2023-07-14,Electricity Bill,-88.99,Utilities
2023-07-15,Electricity Bill,-179.91,Utilities
2023-07-15,Car Repair,-136.64,Transportation
2023-07-16,Dinner at Restaurant,-133.68,Food & Drinks
2023-07-17,Hotel Booking,-143.48,Travel
2023-07-17,Medical Bill,-303.38,Medical
2023-07-17,Movie Ticket,-85.5,Entertainment
2023-07-18,Netflix Subscription,-412.16,Subscription
2023-07-18,Car Repair,-211.24,Transportation
2023-07-19,Online Course Payment,-459.99,Education
2023-07-20,Car Repair,-278.04,Transportation
2023-07-20,Groceries - Walmart,-18.05,Groceries
2023-07-21,Salary Credit,1960.74,Income
2023-07-22,Hotel Booking,-191.49,Travel
2023-07-22,Hotel Booking,-419.97,Travel
2023-07-22,Starbucks Coffee,-23.23,Food & Drinks
2023-07-23,Salary Credit,1027.34,Income
2023-07-23,Gym Membership,-347.4,Fitness
2023-07-23,Groceries - Walmart,-499.86,Groceries
2023-07-24,Netflix Subscription,-279.94,Subscription
2023-07-24,Groceries - Walmart,-364.43,Groceries
2023-07-25,Amazon Shopping,-192.04,Shopping
2023-07-25,Gas Station,-106.5,Transportation
2023-07-26,Insurance Payment,-140.99,Insurance
2023-07-27,Salary Credit,2343.4,Income
2023-07-27,Starbucks Coffee,-182.29,Food & Drinks
2023-07-28,Starbucks Coffee,-240.72,Food & Drinks
2023-07-28,Netflix Subscription,-262.48,Subscription
2023-07-28,Spotify Subscription,-409.11,Subscription
2023-07-29,Hotel Booking,-71.34,Travel
2023-07-30,Online Course Payment,-393.41,Education
2023-07-30,Gas Station,-353.52,Transportation
2023-07-30,Insurance Payment,-452.06,Insurance
2023-07-31,Gym Membership,-306.0,Fitness
2023-07-31,Car Repair,-199.16,Transportation
2023-08-01,Insurance Payment,-452.56,Insurance
2023-08-01,Medical Bill,-275.99,Medical
2023-08-01,Salary Credit,2567.31,Income
2023-08-02,Amazon Shopping,-431.87,Shopping
2023-08-02,Groceries - Walmart,-399.25,Groceries
2023-08-03,Hotel Booking,-248.6,Travel
2023-08-03,Medical Bill,-232.27,Medical
2023-08-04,Gym Membership,-248.85,Fitness
2023-08-04,Flight Ticket,-108.52,Travel
2023-08-05,Movie Ticket,-174.07,Entertainment
2023-08-05,Online Course Payment,-68.8,Education
2023-08-05,Movie Ticket,-80.19,Entertainment
2023-08-06,Movie Ticket,-322.23,Entertainment
2023-08-06,Electricity Bill,-349.77,Utilities
2023-08-07,Netflix Subscription,-437.79,Subscription
2023-08-08,Car Repair,-302.96,Transportation
2023-08-08,Insurance Payment,-25.23,Insurance
2023-08-08,Groceries - Walmart,-175.82,Groceries
2023-08-09,Gym Membership,-64.71,Fitness
2023-08-09,Dinner at Restaurant,-181.22,Food & Drinks
2023-08-10,Starbucks Coffee,-68.73,Food & Drinks
2023-08-10,Flight Ticket,-164.18,Travel
2023-08-11,Online Course Payment,-315.81,Education
2023-08-11,Online Course Payment,-258.27,Education
2023-08-12,Movie Ticket,-35.23,Entertainment
2023-08-12,Uber Ride,-404.07,Travel
2023-08-12,Hotel Booking,-300.65,Travel
2023-08-13,Online Course Payment,-188.38,Education
2023-08-13,Gas Station,-311.04,Transportation
2023-08-13,Gas Station,-233.95,Transportation
2023-08-14,Gas Station,-78.13,Transportation
2023-08-15,Freelance Payment,2374.33,Income
2023-08-15,Gas Station,-376.06,Transportation
2023-08-15,Flight Ticket,-434.27,Travel
2023-08-16,Netflix Subscription,-201.6,Subscription
2023-08-16,Groceries - Walmart,-95.23,Groceries
2023-08-17,Hotel Booking,-109.67,Travel
2023-08-17,Spotify Subscription,-120.44,Subscription
2023-08-17,Flight Ticket,-298.83,Travel
2023-08-18,Netflix Subscription,-326.17,Subscription
2023-08-18,Car Repair,-48.03,Transportation
2023-08-19,Starbucks Coffee,-281.08,Food & Drinks
2023-08-19,Electricity Bill,-218.67,Utilities
2023-08-19,Insurance Payment,-192.49,Insurance
2023-08-20,Gym Membership,-450.33,Fitness
2023-08-21,Flight Ticket,-168.52,Travel
2023-08-21,Salary Credit,1015.07,Income
2023-08-22,Gym Membership,-185.85,Fitness
2023-08-23,Phone Bill,-48.5,Utilities
2023-08-23,Dinner at Restaurant,-44.72,Food & Drinks
2023-08-24,Electricity Bill,-350.0,Utilities
2023-08-24,Gym Membership,-201.94,Fitness
2023-08-24,Phone Bill,-433.43,Utilities
2023-08-25,Hotel Booking,-247.92,Travel
2023-08-25,Gym Membership,-335.98,Fitness
2023-08-26,Starbucks Coffee,-280.6,Food & Drinks
2023-08-27,Insurance Payment,-420.1,Insurance
2023-08-27,Groceries - Walmart,-97.59,Groceries
2023-08-28,Uber Ride,-215.59,Travel
2023-08-28,Salary Credit,2472.49,Income
2023-08-29,Salary Credit,2221.24,Income
2023-08-29,Gym Membership,-292.71,Fitness
2023-08-29,Phone Bill,-466.35,Utilities
2023-08-30,Phone Bill,-298.97,Utilities
2023-08-31,Car Repair,-229.86,Transportation
2023-08-31,Groceries - Walmart,-36.37,Groceries
2023-09-01,Flight Ticket,-343.86,Travel
2023-09-01,Medical Bill,-131.05,Medical
2023-09-02,Dinner at Restaurant,-381.31,Food & Drinks
2023-09-03,Online Course Payment,-238.43,Education
2023-09-03,Netflix Subscription,-177.69,Subscription
2023-09-03,Hotel Booking,-426.11,Travel
2023-09-04,Gas Station,-466.8,Transportation
2023-09-04,Phone Bill,-469.48,Utilities
2023-09-05,Netflix Subscription,-463.59,Subscription
2023-09-05,Electricity Bill,-414.83,Utilities
2023-09-05,Groceries - Walmart,-104.81,Groceries
2023-09-06,Netflix Subscription,-86.31,Subscription
2023-09-06,Groceries - Walmart,-121.67,Groceries
2023-09-07,Uber Ride,-161.52,Travel
2023-09-07,Amazon Shopping,-199.26,Shopping
2023-09-08,Electricity Bill,-191.59,Utilities
2023-09-08,Insurance Payment,-313.93,Insurance
2023-09-08,Salary Credit,2495.22,Income
2023-09-09,Salary Credit,1464.43,Income
2023-09-09,Salary Credit,1782.96,Income
2023-09-09,Starbucks Coffee,-274.06,Food & Drinks
2023-09-10,Freelance Payment,1233.8,Income
2023-09-10,Gym Membership,-169.74,Fitness
2023-09-10,Insurance Payment,-170.78,Insurance
2023-09-11,Online Course Payment,-311.94,Education
2023-09-11,Medical Bill,-372.02,Medical
2023-09-11,Uber Ride,-498.86,Travel
2023-09-12,Salary Credit,2413.96,Income
2023-09-13,Salary Credit,1067.06,Income
2023-09-13,Starbucks Coffee,-382.42,Food & Drinks
2023-09-13,Amazon Shopping,-174.33,Shopping
2023-09-14,Flight Ticket,-59.76,Travel
2023-09-14,Uber Ride,-231.22,Travel
2023-09-15,Electricity Bill,-79.21,Utilities
2023-09-15,Online Course Payment,-207.43,Education
2023-09-15,Flight Ticket,-361.42,Travel
2023-09-16,Insurance Payment,-348.5,Insurance
2023-09-16,Uber Ride,-359.51,Travel
2023-09-16,Groceries - Walmart,-414.27,Groceries
2023-09-17,Amazon Shopping,-174.55,Shopping
2023-09-17,Gym Membership,-203.42,Fitness
2023-09-18,Gas Station,-309.4,Transportation
